;; Automatically fixes some typing mistakes related to vowel maatras. Intended to be used alongside this keyboard layout program: https://github.com/SalviaSage/Keyboard-Layouts/tree/master/Indic%20Typers/Devanagari%20Typer

*C1OZ‖ऺ‖SI‖En‖{U+0973}‖devanagari letter oe - Automatic Replace
*C1OZ‖ऻ‖SI‖En‖{U+0974}‖devanagari letter ooe - Automatic Replace
*C1OZ‖ा‖SI‖En‖{U+0905}‖devanagari letter a - Automatic Replace
*C1OZ‖ि‖SI‖En‖{U+0907}‖devanagari letter i - Automatic Replace
*C1OZ‖ी‖SI‖En‖{U+0908}‖devanagari letter ii - Automatic Replace
*C1OZ‖ु‖SI‖En‖{U+0909}‖devanagari letter u - Automatic Replace
*C1OZ‖ू‖SI‖En‖{U+090A}‖devanagari letter uu - Automatic Replace
*C1OZ‖ृ‖SI‖En‖{U+090B}‖devanagari letter vocalic r - Automatic Replace
*C1OZ‖ॄ‖SI‖En‖{U+0960}‖devanagari letter vocalic rr - Automatic Replace
*C1OZ‖ॅ‖SI‖En‖{U+090D}‖devanagari letter candra e - Automatic Replace
*C1OZ‖ॆ‖SI‖En‖{U+090E}‖devanagari letter short e - Automatic Replace
*C1OZ‖े‖SI‖En‖{U+090F}‖devanagari letter e - Automatic Replace
*C1OZ‖ै‖SI‖En‖{U+0910}‖devanagari letter ai - Automatic Replace
*C1OZ‖ॉ‖SI‖En‖{U+0911}‖devanagari letter candra o - Automatic Replace
*C1OZ‖ॊ‖SI‖En‖{U+0912}‖devanagari letter short o - Automatic Replace
*C1OZ‖ो‖SI‖En‖{U+0913}‖devanagari letter o - Automatic Replace
*C1OZ‖ौ‖SI‖En‖{U+0914}‖devanagari letter au - Automatic Replace
*C1OZ‖ॏ‖SI‖En‖{U+0975}‖devanagari letter aw - Automatic Replace
*C1OZ‖ॖ‖SI‖En‖{U+0976}‖devanagari letter ue - Automatic Replace
*C1OZ‖ॗ‖SI‖En‖{U+0977}‖devanagari letter uue - Automatic Replace
*C1OZ‖ॢ‖SI‖En‖{U+090C}‖devanagari letter vocalic l - Automatic Replace
*C1OZ‖ॣ‖SI‖En‖{U+0961}‖devanagari letter vocalic ll - Automatic Replace
*C1OZ‖ꣿ‖SI‖En‖{U+A8FE}‖devanagari letter ay - Automatic Replace
